year,total,inState,outState,noState,married,unmarried,noMarital,age0,age15,age18,age20,age25,age30,age35,age40,age45,noAge
1995,52300,48529,3575,196,8307,37760,2462,466,4387,5841,15781,10516,6495,3703,1045,≤50,≤50
1996,53613,49457,3859,297,8643,39399,1415,434,4380,5822,15894,11077,6485,3781,1158,≤50,≤50
1997,50147,46121,3916,110,7729,37192,1200,345,4224,5397,14660,10941,5886,3359,985,≤50,324
1998,49403,44815,4517,71,7084,36288,1443,354,3794,5055,14401,10591,5969,3348,1010,62,231
1999,45924,41509,4294,121,6880,32485,2144,307,3340,4783,13253,9770,5569,3210,1016,65,196
2000,45884,40754,4852,278,6497,32735,1522,295,3267,4755,13177,9552,5344,3117,1008,≤50,≤50
2001,46546,41523,4488,535,7204,33323,996,298,3063,4523,13314,9388,6040,3393,1167,≤50,≤50
2002,46945,42655,4207,83,7138,34543,974,281,2902,4477,13714,9854,6367,3520,1259,≤50,≤50
2003,42228,38700,3497,31,6599,31129,972,287,2820,4042,12063,8969,5931,3173,1167,≤50,≤50
2004,43537,40023,3400,114,6727,32771,525,308,2942,4258,12430,9235,6056,3299,1254,≤50,≤50
2005,43409,38409,3317,1683,6341,31342,726,237,2798,3874,11753,9103,5810,3400,1178,≤50,≤50
2006,46467,40412,3940,2115,6189,33473,750,282,2875,3959,12376,9771,5946,3678,1207,≤50,≤50
2007,45298,39291,4042,1965,5741,32794,756,257,2827,4054,11799,9481,5874,3593,1103,51,192
2008,47717,42703,3903,1111,5074,35997,1632,299,2995,4383,13130,10392,6245,3815,1154,≤50,≤50
2009,46077,41307,3624,1146,4905,35035,1367,257,2734,4221,12664,9901,6293,3781,1230,103,123
2010,41859,38622,3050,187,4351,32492,1779,229,2496,3863,11891,9222,5924,3407,1192,98,300
2011,41324,37922,3139,263,4538,32596,788,185,2174,3528,11867,9099,6143,3390,1232,63,241
2012,43203,39849,3138,216,4800,34599,450,218,1995,3442,12453,9819,6630,3655,1355,85,197
